name;alias;description;group_type;department;group_id;sku;unit;price;VAT;purchase_price;available;reserved;last_reserved_at
Коррекция брахицефалического синдрома ( ларингоскопия, пластика мягкого неба, ринопластика) (2023);;;Услуги платные;Хирургия;Хирургия;2232;1 голова;11500;;;0.00;0.00;
Коррекция БЦС ларингоскопия+пластика мягкого неба+ удаление ларингеальных мешочков) (2023);;;Услуги платные;Хирургия;Хирургия;2233;1 голова;7500;;;;;
Лапароскопически ассистированные операции на брюшной полости собаки средних пород (от 11 до 30кг);;;Услуги платные;Хирургия;Хирургия;48697;1 голова;7125;;;;;
Лимфаденэктомия (кошка);;;Услуги платные;Хирургия;Хирургия;486992;1 голова;3500;;;;;
Лимфаденэктомия (собака);;;Услуги платные;Хирургия;Хирургия;486992;1 голова;4000;;;;;
Обработка швов (2023);;;Услуги платные;Хирургия;Хирургия;2112;1 голова;155;;;;;
Овариоэктомия кошки, хорька, кролика (полная стоимость с учетом приема животного, без стоимости дополнительных исследований, расходных материалов и лекарственных средств) * (2023);;;Услуги платные;Хирургия;Хирургия;2126;1 голова;3500;;;;;
Удаление инородного тела  из шейной части  пищевода (2023);;;Услуги платные;Хирургия;Хирургия;2126;1 голова;1500;;;;;
Овариоэктомия суки до 10 кг (полная стоимость с учетом приема животного, без стоимости дополнительных исследований, расходных материалов и лекарственных средств) * (2023);;;Услуги платные;Хирургия;Хирургия;2127;1 голова;8000;;;;;
Овариоэктомия суки от 10  до 30 кг  (полная стоимость с учетом приема животного, без стоимости дополнительных исследований, расходных материалов и лекарственных средств) * (2023);;;Услуги платные;Хирургия;Хирургия;2128;1 голова;9500;;;;;
Операции на  пищеводе (2023);;;Услуги платные;Хирургия;Хирургия;2128;1 голова;7000;;;;;
Овариоэктомия суки от 30 кг и выше  (полная стоимость с учетом приема животного, без стоимости дополнительных исследований, расходных материалов и лекарственных средств) * (2023);;;Услуги платные;Хирургия;Хирургия;2129;1 голова;11500;;;;;
Удаление инородного тела из ушного канала простое (2023);;;Услуги платные;Хирургия;Хирургия;2129;1 ухо;120;;;;;
Оперативное лечение внепеченочного портосистемного шунта (2023);;;Услуги платные;Хирургия;Хирургия;2221;1 голова;20000;;;;;
Операции на желчном протоке  кошек, собак до 10 кг (2023);;;Услуги платные;Хирургия;Хирургия;2151;1 голова;11000;;;;;
Операции на желчном протоке собак от 10-25 кг (2023);;;Услуги платные;Хирургия;Хирургия;2152;1 голова;12500;;;;;
Операции на желчном протоке собак от 25-50 кг (2023);;;Услуги платные;Хирургия;Хирургия;2153;1 голова;13000;;;;;
Операции на желчном протоке собак от 50 кг (2023);;;Услуги платные;Хирургия;Хирургия;2154;1 голова;14000;;;;;
Операции на суставах и сухожильно-связочном аппарате;;;Услуги платные;Хирургия;Хирургия;4836;1 голова;3055;;;;;
Операции при завороте желудка (2023);;;Услуги платные;Хирургия;Хирургия;2146;1 голова;12000;;;;;
Операции при инвагинации кишечника, резекция кишечника;;;Услуги платные;Хирургия;Хирургия;2155;1 голова;6000;;;;;
Определение времени вязки при помощи детектора беременности;;;Услуги платные;Хирургия;Хирургия;494615;1 голова;785;;;;;
Определение времени вязки при помощи детектора течки;;;Услуги платные;Хирургия;Хирургия;494614;1 голова;785;;;;;
Остеосинтез * (простой собаки 10-25 *);;;Услуги платные;Хирургия;Хирургия;4831;1 голова;18000;;;;;
Отбор биопсийного материала;;;Услуги платные;Хирургия;Хирургия;486861;1 процедура;1500;;;;;
Отбор проб для исследования на хеликобактер;;;Услуги платные;Хирургия;Хирургия;48471;1 процедура;510;;;;;
Открытая репозиция при переломе костей;;;Услуги платные;Хирургия;Хирургия;4867;1 конечность;1050;;;;;
Отрыв подвздошно- крестцового сочленения кошка, собака 1-9 кг (2023);;;Услуги платные;Хирургия;Хирургия;2181;1 конечность;15000;;;;;
Отрыв подвздошно- крестцового сочленения собаки 10-24 кг (2023);;;Услуги платные;Хирургия;Хирургия;2182;1 конечность;18000;;;;;
Отрыв подвздошно- крестцового сочленения собаки более 55 кг (2023);;;Услуги платные;Хирургия;Хирургия;2184;1 конечность;23000;;;;;
Отрыв подвздошно-крестцового сочленения собаки 25-54 кг (2023);;;Услуги платные;Хирургия;Хирургия;2183;1 конечность;20000;;;;;
Парциальная резекция желудка  у  собак более 10 кг с диагностичекой лапаротомией (2023);;;Услуги платные;Хирургия;Хирургия;2175;1 голова;11500;;;;;
Парциальноя резекция желудка. У кошек, собак до 10 кг с диагностичекой лапаротомией (2023);;;Услуги платные;Хирургия;Хирургия;2174;1 голова;9500;;;;;
Пересадка слюнного протока (2019);;;Услуги платные;Хирургия;Хирургия;4856;1 голова;3000;;;;;
